Keyword Stats 2022-05-28 at 09_02_52
2020年5月1日 - 2022年4月30日
Keyword	Currency	Avg. monthly searches	三个月变化	年同比变化	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: May 2020	Searches: Jun 2020	Searches: Jul 2020	Searches: Aug 2020	Searches: Sep 2020	Searches: Oct 2020	Searches: Nov 2020	Searches: Dec 2020	Searches: Jan 2021	Searches: Feb 2021	Searches: Mar 2021	Searches: Apr 2021	Searches: May 2021	Searches: Jun 2021	Searches: Jul 2021	Searches: Aug 2021	Searches: Sep 2021	Searches: Oct 2021	Searches: Nov 2021	Searches: Dec 2021	Searches: Jan 2022	Searches: Feb 2022	Searches: Mar 2022	Searches: Apr 2022	Concept: Computer	Concept: Company	Concept: Other Brands	Concept: Non-Brands	Concept: Device	Concept: Others	Concept: Element
capcut editor tiktok	SGD	20	250%	1300%	低	4	0.51	1.89					Y	0	0	0	0	0	0	0	0	10	10	10	10	10	20	20	30	20	70	50	30	30	40	50	140				Non-Brands		"video editing, video editor"	
capcut download play store	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	0		google			android	app store	
cara nak edit video di capcut	SGD		 --	 --	未知								Y																												Non-Brands		video editor	
capcut crack download	SGD		 --	 --	未知								Y																												Non-Brands	android	"apk, video editor"	
capcut video editor pro	SGD	10	0%	∞	低	29							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	10	0	10				Non-Brands	android	"video editing, apk, video editor, pro"	
download capcut app for pc	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0				Non-Brands	windows		download for pc
cap cut editor pc	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	0	0	0	10	10	0	0	0				Non-Brands	windows	"video editing, video editor"	
capcut computer version	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	computer			Non-Brands			download for pc
cap cut apk full	SGD		 --	 --	未知								Y																												Non-Brands	android	apk	
capcut link apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0				Non-Brands	android	apk	
capcut pc install	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	10	0	computer			Non-Brands			download for pc
capcut android app	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	0	0	10	10	0	10				Non-Brands	android		
capcut download google play	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0		google			android	app store	
capcut download app store	SGD	10	0%	∞	低	21							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10				Non-Brands		app store	
capcut fortnite	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	10	10	10	10			youtube				
edit capcut app	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	0	0	0				Non-Brands		video editing	
edit with capcut	SGD	10	0%	0%	低	4							Y	0	0	0	0	0	0	0	10	0	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10				Non-Brands		"video editing, video editor"	
download capcut for macbook	SGD	10	0%	∞	低	5							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	10	10	10		apple			mac		download for mac
capcut app use	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	10	0				Non-Brands	android	video editing	
capcut template app	SGD	10	150%	∞	低	11							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	20	50	50				Non-Brands			
capcut 3d pro	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	10	10	10	10	0	10				Non-Brands		pro	
capcut video editor 2021	SGD	10	∞	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	10				Non-Brands	android	"video editing, video editor, 2021"	
viamaker android	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	10	0	0	0	10	0	10	0	0	0	0	10	0	10	10	0				Non-Brands	android		
viamaker windows	SGD	10	0%	∞	低	14							Y	10	10	10	10	0	0	0	10	0	0	10	0	0	0	10	10	10	0	10	10	10	10	10	10				Non-Brands	windows		
cap cut for chromebook	SGD	10	∞	-75%	低	0							Y	0	0	0	0	0	0	0	0	0	0	20	40	10	10	10	0	0	0	10	10	10	0	10	10				Non-Brands		2021	
capcut style download	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	10	10	10				Non-Brands		apk	
capcut in windows 10	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0				Non-Brands	windows		download for pc
download cap cut 2020	SGD		 --	 --	未知								Y																												Non-Brands		2020	
online video editor like capcut	SGD	10	0%	∞	中	56	0.77	2.47					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10				Non-Brands		video editor	
capcut template apk download	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	10	10				Non-Brands		apk	
apps that are like capcut	SGD	10	∞	∞	中	36							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	10	10				Non-Brands		video editing	
cap cut preset	SGD		 --	 --	未知								Y																												Non-Brands		2021	
web cap cut	SGD		 --	 --	未知								Y																												Non-Brands			
capcut 2021 app	SGD	0	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	2021	
capcut install pc	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	10	10	computer			Non-Brands			download for pc
edit photo capcut	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	10	10	10	10	10	0				Non-Brands		photo	
viamaker shake effect app download	SGD		 --	 --	未知								Y																												Non-Brands		"video editing, video editor"	
capcut apk up to down	SGD		 --	 --	未知								Y																											up to down		android	apk	
capcut app video	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	10	0	0	0	0	0				Non-Brands		video editing	
capcut video editor for ios	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0				Non-Brands	"android, ios"	"video editing, video editor"	
capcut video editor tiktok	SGD	10	0%	∞	低	5							Y	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	10	10	10	10	10	10	10	10				Non-Brands		"video editing, video editor"	
link for capcut	SGD	10	0%	∞	低	4							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	0	10	10	10	10				Non-Brands	android		
capcut like app for android	SGD	10	∞	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10				Non-Brands	android		
capcut photo editing	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	10	10	10				Non-Brands		photo	
capcut video editor download for laptop	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	laptop			Non-Brands		"video editing, video editor"	
cap cut video app	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	0	10	10	10	0	10				Non-Brands		video editing	
capcut filters download	SGD	10	0%	∞	低	4							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10				Non-Brands		"video editing, apk"	
laptop capcut	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	0	0	0	10	0	0	0	0	laptop			Non-Brands			
capcut tutor	SGD	320	23%	84%	低	2	0.11	2.53					Y	0	30	50	70	210	140	260	260	390	390	390	320	720	590	480	390	320	590	480	480	480	480	480	590				Non-Brands		"video editing, 2021"	
green capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10				Non-Brands		2021	
better than capcut	SGD	10	0%	∞	低	16							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10				Non-Brands		video editing	
capcut for kinemaster	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0			kinemaster			video editor	
capcut macbook pro	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	10	10		apple			mac	pro	
cup cut editing app	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0				Non-Brands			
bluestacks cap cut	SGD		 --	 --	未知								Y																											bluestacks		android		download for pc
download video dari cap cut	SGD		 --	 --	未知								Y																												Non-Brands			
capcut app desktop	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	10	desktop			Non-Brands			download for pc
capcut portable	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0				Non-Brands			
capcut download pc dell	SGD	10	0%	∞	低	29							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	0	10	0	10		dell					download for pc
chinese cap cut app	SGD	10	0%	0%	未知								Y	0	0	0	10	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0				Non-Brands		chinese	
capcut download for pc windows 10	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	0				Non-Brands	windows		download for pc
capcut 3.8	SGD		 --	 --	未知								Y																												Non-Brands	android	"apk, video editor"	
capcut video maker app	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0				Non-Brands	android	"video editing, video editor"	
appzforpc cap cut	SGD		 --	 --	未知								Y																												Non-Brands			download for pc
capcut auto edit	SGD	10	0%	∞	低	4							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10				Non-Brands		"video editing, video editor"	
apkcap cut	SGD		 --	 --	未知								Y																												Non-Brands		apk	
capcut 3.6	SGD		 --	 --	未知								Y																												Non-Brands	android	"apk, video editor"	
capcut ph	SGD	10	100%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	10	10	20				Non-Brands			
capcut related apps	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	10	10	10	10	10				Non-Brands			
capcut web player	SGD	10	100%	∞	低	3							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	20				Non-Brands			
chinese cap cut download	SGD		 --	 --	未知								Y																												Non-Brands		chinese	
free capcut on pc	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	10	0	10	10	10	10	0				Non-Brands			download for pc
cap cut 3	SGD		 --	 --	未知								Y																												Non-Brands		2021	
capcut best version	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10				Non-Brands	android	"video editing, apk"	
capcut free download desktop	SGD	10	∞	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	0	10	10	desktop			Non-Brands			download for pc
cap cut editing app download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0				Non-Brands	android	"video editing, video editor"	
3d photo cap cut	SGD		 --	 --	未知								Y																												Non-Brands		photo	
best filters for capcut	SGD	10	100%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	10	10	10	10	10	20				Non-Brands		video editing	
capcut on macbook air	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	10	0	0	10				Non-Brands	mac		
chinese app cap cut	SGD	10	0%	-100%	未知								Y	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	chinese	
edit video hd capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0				Non-Brands		"video editing, video editor"	
editing apps better than capcut	SGD	10	0%	∞	中	37	0.71	4.44					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10				Non-Brands		"video editing, video editor"	
video con capcut	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	10				Non-Brands		video editing	
cup cut edit video	SGD	0	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands		"video editing, video editor"	
capcut down load	SGD		 --	 --	未知								Y																												Non-Brands			
cap cut chinese app download	SGD	10	0%	0%	未知								Y	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	chinese	
cap cut similar app	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0				Non-Brands		2021	
capcut in macbook	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	10	0	10		apple					
capcut video background remover	SGD	10	∞	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10				Non-Brands			
capcut online chromebook	SGD	10	200%	∞	低	20	0.49	1.21					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	10	0	0	10	10	10	20	30				Non-Brands		"video editor, 2021"	
camera cap cut	SGD		 --	 --	未知								Y																									camera			Non-Brands	android	2021	
capcut app in pc	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	10	0	0	10	10	10	0	0	0	0	0	0	10	0	0				Non-Brands			download for pc
best capcut app	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0				Non-Brands	android	video editing	
lighting capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	0	10				Non-Brands			
preset cinematic capcut	SGD	10	∞	∞	高	100							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10				Non-Brands		video editing	
cap cut for chrome	SGD		 --	 --	未知								Y																												Non-Brands	android		
editing software like capcut for pc	SGD	10	0%	∞	中	44	0.59	2.05					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10				Non-Brands		"video editing, video editor"	
cara untuk edit video menggunakan capcut	SGD		 --	 --	未知								Y																												Non-Brands		video editor	
viamaker app free download	SGD		 --	 --	未知								Y																												Non-Brands	android		
viamaker video editing app download	SGD		 --	 --	未知								Y																												Non-Brands	android	"video editing, video editor"	
apli kasi cap cut	SGD		 --	 --	未知								Y																												Non-Brands			
edit capcut pc	SGD		 --	 --	未知								Y																												Non-Brands		"video editing, video editor"	
cara nak buat video guna capcut	SGD		 --	 --	未知								Y																												Non-Brands			
cara nak download capcut di laptop	SGD		 --	 --	未知								Y																									laptop			Non-Brands			
editor capcut 2021	SGD		 --	 --	未知								Y																												Non-Brands		"video editing, video editor, 2021"	
link edit video capcut	SGD		 --	 --	未知								Y																												Non-Brands		"video editing, video editor"	
cap cut pengedit video	SGD		 --	 --	未知								Y																												Non-Brands		video editor	
best effects for capcut	SGD	10	0%	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	10				Non-Brands		video editing	
kamera cap cut	SGD		 --	 --	未知								Y																												Non-Brands	android		
spectrum capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0			spectrum		android		
capcut edit pic	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	10	0	10	10	0	0	10				Non-Brands		"video editing, video editor, photo"	
capcut app editing video	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0				Non-Brands	android	"video editing, video editor"	
download viamaker app	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0				Non-Brands	android	video editing	
